colorData=True																						
sizeData=t																						
luminanceData=false																						
	Mallet Head				Hand				Elbow				Elbow				Shoulder				Pitch	Vis
t	x	y			x	y			x	y			x	y			x	y				
2.94	3.68	2.96	-	-	3.38	2.71	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	3.4	4.65	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
2.97	3.72	2.92	-	-	3.39	2.71	size.25	"(0,0,255)"	3.4	4.65	"(0, 255, 0)"	size 3.5	3.4	4.65	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
3	3.75	2.88	-	-	3.4	2.69	size.25	"(0,0,255)"	3.42	4.67	"(0, 255, 0)"	size 3.5	3.42	4.67	"(0,0,255)"	size1	3.66	6.69	"(255,0,0)"	size1.5	d	l
3.04	3.76	2.88	-	-	3.42	2.69	size.25	"(0,0,255)"	3.42	4.67	"(0, 255, 0)"	size 3.5	3.42	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.07	3.76	2.88	-	-	3.42	2.69	size.25	"(0,0,255)"	3.42	4.67	"(0, 255, 0)"	size 3.5	3.42	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.1	3.78	2.85	-	-	3.43	2.69	size.25	"(0,0,255)"	3.43	4.67	"(0, 255, 0)"	size 3.5	3.43	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.14	3.79	2.85	-	-	3.43	2.69	size.25	"(0,0,255)"	3.43	4.67	"(0, 255, 0)"	size 3.5	3.43	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.17	3.81	2.83	-	-	3.44	2.69	size.25	"(0,0,255)"	3.43	4.67	"(0, 255, 0)"	size 3.5	3.43	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.2	3.82	2.83	-	-	3.44	2.69	size.25	"(0,0,255)"	3.43	4.67	"(0, 255, 0)"	size 3.5	3.43	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.23	3.83	2.81	-	-	3.44	2.69	size.25	"(0,0,255)"	3.43	4.67	"(0, 255, 0)"	size 3.5	3.43	4.67	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.27	3.85	2.81	-	-	3.44	2.69	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.3	3.85	2.81	-	-	3.44	2.69	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.33	3.85	2.81	-	-	3.44	2.69	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.37	3.85	2.81	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.4	3.85	2.81	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.43	3.85	2.81	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.47	3.85	2.81	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.5	3.85	2.81	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.53	3.86	2.77	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
3.54	3.86	2.77	-	-	3.44	2.67	size.25	"(0,0,255)"	3.42	4.69	"(0, 255, 0)"	size 3.5	3.42	4.69	"(0,0,255)"	size1	3.66	6.71	"(255,0,0)"	size1.5	d	l
